,Images,Preds,Groundtruth
0,Haras&Fight_Pub_N001,0,0
1,Haras&Fight_Pub_N002,0,0
2,Haras&Fight_Pub_N003,0,0
3,Haras&Fight_Pub_N004,0,0
4,Haras&Fight_Pub_N005,0,0
5,Haras&Fight_Pub_N006,0,0
6,Haras&Fight_Pub_N007,0,0
7,Haras&Fight_Pub_N008,0,0
8,Haras&Fight_Pub_N009,0,0
9,Haras&Fight_Pub_N010,0,0
10,Haras&Fight_Pub_N011,0,0
11,Haras&Fight_Pub_N012,0,0
12,Haras&Fight_Pub_N013,0,0
13,Haras&Fight_Pub_N014,0,0
14,Haras&Fight_Pub_N015,0,0
15,Haras&Fight_Pub_N016,0,0
16,Haras&Fight_Pub_N017,1,0
17,Haras&Fight_Pub_N018,0,0
18,Haras&Fight_Pub_N019,0,0
19,Haras&Fight_Pub_N020,0,0
20,Haras&Fight_Pub_N021,0,0
21,Haras&Fight_Pub_N022,1,0
22,Haras&Fight_Pub_N023,0,0
23,Haras&Fight_Pub_N024,0,0
24,Haras&Fight_Pub_N031,0,0
25,Haras&Fight_Pub_N032,0,0
26,Haras&Fight_Pub_N033,1,0
27,Haras&Fight_Pub_N034,0,0
28,Haras&Fight_Pub_N035,0,0
29,Haras&Fight_Pub_N036,0,0
30,Haras&Fight_Pub_N037,0,0
31,Haras&Fight_Pub_N038,0,0
32,Haras&Fight_Pub_N039,0,0
33,Haras&Fight_Pub_N040,0,0
34,Haras&Fight_Pub_N041,0,0
35,Haras&Fight_Pub_N042,0,0
36,Haras&Fight_Pub_N043,0,0
37,Haras&Fight_Pub_N044,0,0
38,Haras&Fight_Pub_N045,0,0
39,Haras&Fight_Pub_N046,0,0
40,Haras&Fight_Pub_N047,0,0
41,Haras&Fight_Pub_N048,0,0
42,Haras&Fight_Pub_N049,0,0
43,Haras&Fight_Pub_N050,0,0
44,Haras&Fight_Pub_N051,1,0
45,Haras&Fight_Pub_N052,1,0
46,Haras&Fight_Pub_N053,1,0
47,Haras&Fight_Pub_N054,0,0
48,Haras&Fight_Pub_N055,0,0
49,Haras&Fight_Pub_N056,0,0
50,Haras&Fight_Pub_N057,0,0
51,Haras&Fight_Pub_N058,0,0
52,Haras&Fight_Pub_N059,0,0
53,Haras&Fight_Pub_N060,0,0
54,Haras&Fight_Pub_N061,0,0
55,Haras&Fight_Pub_N062,0,0
56,Haras&Fight_Pub_N063,0,0
57,Haras&Fight_Pub_N064,0,0
58,Haras&Fight_Pub_N065,0,0
59,Haras&Fight_Pub_N066,0,0
60,Haras&Fight_Pub_N067,0,0
61,Haras&Fight_Pub_N068,0,0
62,Haras&Fight_Pub_N069,0,0
